TeD,TrD1,TrD2,TrD3,TrD4,TrD5,TrD6,TrD7,TrD8,model,score
TeD5,0,1,0,0,0,0,0,1,M3,0.0532726366906923
TeD5,0,1,0,0,1,1,1,0,M3,0.0533594818649123
TeD5,0,1,0,0,0,1,0,0,M3,0.0427446071729733
TeD5,0,1,0,1,0,1,0,1,M3,0.0551349144165045
TeD5,1,1,0,0,1,0,0,0,M3,0.051823310918831
TeD5,0,1,0,0,1,1,0,1,M3,0.0582947165607482
TeD5,0,0,1,0,0,1,0,1,M3,0.0572120234826457
TeD5,0,1,0,1,0,1,0,0,M3,0.0479535755535026
TeD5,1,1,1,1,1,0,1,0,M3,0.053690751930784
TeD5,0,1,1,0,0,0,1,0,M3,0.0512421889751127
TeD5,1,1,0,1,1,0,1,1,M3,0.053320845296142
TeD5,0,1,1,0,0,1,1,0,M3,0.0526516538535638
TeD5,1,1,1,1,1,0,1,1,M3,0.055290728699443
TeD5,1,1,1,0,0,1,1,1,M3,0.0533881093037236
TeD5,1,0,1,0,0,0,0,0,M3,0.0457115203439901
TeD5,1,0,1,1,1,0,0,0,M3,0.0571244685935109
TeD5,0,1,0,0,0,0,1,0,M3,0.0473186618169612
TeD5,1,1,1,0,0,1,0,0,M3,0.0505623758365516
TeD5,0,1,1,1,1,1,1,1,M3,0.0529756089824023
TeD5,0,1,1,0,1,1,0,1,M3,0.0581775051701005
TeD5,0,0,1,0,0,1,0,0,M3,0.0492065420846905
TeD5,0,1,1,1,0,1,0,0,M3,0.0483211664670079
TeD5,0,1,0,0,0,0,1,1,M3,0.0553263338388202
TeD5,1,0,0,1,0,0,0,0,M3,0.046770495910766
TeD5,1,1,1,0,0,0,0,0,M3,0.0459066593771543
TeD5,0,1,1,0,1,1,1,0,M3,0.0553881610744537
TeD5,0,1,0,0,1,0,0,0,M3,0.0510727444769447
TeD5,1,1,1,1,1,1,0,1,M3,0.0561124277602396
TeD5,0,1,1,0,1,0,0,1,M3,0.0553238887398725
TeD5,0,1,1,0,0,1,0,0,M3,0.0470154491851154
TeD5,1,0,1,1,1,1,0,0,M3,0.0592320200648222
TeD5,0,1,0,0,1,1,0,0,M3,0.0529326564840629
TeD5,0,1,0,0,0,1,1,0,M3,0.0490714942600204
TeD5,1,0,1,1,0,0,1,1,M3,0.0581930169161813
TeD5,1,1,0,1,0,1,1,1,M3,0.0541393262907871
TeD5,1,1,0,0,1,1,0,0,M3,0.0505034127675533
TeD5,0,0,1,0,1,0,0,0,M3,0.0565825822627193
TeD5,0,0,0,1,1,0,0,1,M3,0.0559504669393519
TeD5,0,1,1,0,0,0,0,1,M3,0.0549926251937627
TeD5,1,1,1,1,1,1,1,0,M3,0.0555431675397191
TeD5,0,1,0,0,0,1,1,1,M3,0.0559372653172807
TeD5,0,0,0,0,1,0,0,1,M3,0.0580753833851852
